,InitialCashETF,InitialCashOption,InitialCashFuture,CashETF,AssetETF,TotalAssetETF,MarginOption,CashOption,MarginFuture,CashFuture,TotalRepo,TotalExchangeFees,TotalInvestmentCash,TotalCash,PnLOrcTheory,PnLOrcMarket,PnLMarketSettle,PnLMarketClose
2016-06-27,,,,,,,,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,,,,
2016-07-05,46000000.0,25000000.0,,40859719.0,6250760.6,47109939.6,12673869.0,13291886.7,,,,,,,,,,
2016-07-06,46000000.0,25000000.0,,40000580.99,7123362.79,47123943.78,13177309.8,12890164.4,2241000.0,2823232.1,,,,,,,,
2016-07-07,46000000.0,25000000.0,,42103433.6,5037136.36,47140569.96,13603342.6,12453784.1,2492880.0,2586321.73,,,,,,,,
2016-07-08,46000000.0,25000000.0,,41040909.08,6071899.0,47112808.08,13761192.2,12410019.9,2608452.0,2428554.1,,,,,,,,
2016-07-11,46000000.0,25000000.0,,41178818.2,5966266.84,47145085.04,13529640.6,12402319.7,2504640.0,2640710.29,,,,,,,,
2016-07-12,46000000.0,25000000.0,,37146050.5,10151470.33,47297520.83,14224953.8,12365322.4,2420904.0,2936499.82,,,,,204474.0,,,
2016-07-13,46000000.0,25000000.0,,24992627.92,22267950.59,47260578.51,16180361.8,11473641.2,3730212.0,1716167.84,,,,,204474.0,,,
2016-07-14,43000000.0,25000000.0,8000000.0,12971643.16,31265735.81,44237378.97,16180361.8,11046054.0,4767228.0,3677348.44,,,,,218700.0,207668.0,,
2016-07-15,53000000.0,25000000.0,8000000.0,15075115.21,39217121.27,54292236.48,19243794.6,10097997.3,5038092.0,3470592.99,,,,,198369.0,127311.0,,
2016-07-18,53000000.0,25000000.0,8000000.0,14029563.31,40126103.99,54155667.3,19407568.0,10158628.5,5150256.0,3282872.97,,,,,204425.0,120595.0,,
2016-07-19,53000000.0,25000000.0,8000000.0,14029563.31,39909984.94,53939548.25,20000495.8,9603326.5,5099220.0,3066157.77,,,,,192948.0,55637.0,,
2016-07-20,53000000.0,25000000.0,10000000.0,11711841.78,43788755.17,55500596.95,20626668.1,9101745.6,5477916.0,4648295.16,,,,,208462.0,74395.0,,
2016-07-21,53000000.0,25000000.0,10000000.0,13114746.86,42614422.92,55729169.78,21727672.0,8343289.2,5762976.0,4511464.02,,,,,251409.0,157736.0,,
2016-07-22,53000000.0,25000000.0,10000000.0,7235700.23,48088451.4,55324151.63,21662952.0,8735404.3,6622332.0,3435235.55,,,,,195278.0,,,
2016-07-25,63000000.0,35000000.0,,23720544.72,41640030.09,65360574.81,20844936.2,13379207.1,,,,,,,264355.0,,,
2016-07-26,63000000.0,35000000.0,15000000.0,35715526.29,30075000.31,65790526.6,22551175.0,12179742.7,5028732.0,10373710.68,,,,,281474.0,,,
2016-07-27,63000000.0,35000000.0,15000000.0,34328532.02,28991505.94,63320037.96,22874032.5,14745686.8,4833828.0,10233457.31,,,,,454773.0,,,
2016-07-28,53000000.0,40000000.0,15000000.0,38691405.04,22891181.68,61582586.72,22078749.8,15011778.4,2821320.0,12434182.11,,,,,568336.0,,,
2016-07-29,53000000.0,40000000.0,15000000.0,37445665.48,24039115.11,61484780.59,23163027.0,14210212.7,3839964.0,11366395.65,,,51042106.11,108000000.0,572232.0,509229.0,,
2016-08-01,53000000.0,40000000.0,15000000.0,37846365.76,26524117.14,61370482.92,23454380.0,13926651.2,5100480.0,10049103.2,,,55078977.14,108000000.0,505701.0,417799.0,,
2016-08-02,53000000.0,40000000.0,15000000.0,27628698.33,33750103.14,61378801.47,23698575.0,13752781.6,4973856.0,10161431.01,,,62422534.14,108000000.0,532102.0,431421.0,,
2016-08-03,53000000.0,40000000.0,15000000.0,19817632.98,41529565.93,61347198.91,23986848.8,13470892.1,4211820.0,10915650.75,,,69728234.73,108000000.0,533658.0,424401.0,,
2016-08-04,53000000.0,40000000.0,15000000.0,20514356.42,40799079.92,61313436.34,23964596.4,13592724.2,5989704.0,9137180.99,,,70753380.32,108000000.0,552535.0,432494.0,,
2016-08-05,53000000.0,40000000.0,15000000.0,34168274.2,27310422.67,61478696.87,24205441.0,12984017.3,5765964.0,9532684.36,,,57281827.67,108000000.0,536847.0,441083.0,,
2016-08-08,53000000.0,40000000.0,15000000.0,35847045.5,25748684.02,61595729.52,24200693.6,12915205.2,5650008.0,9714144.13,,,55599385.62,108000000.0,547687.0,443107.0,,
2016-08-09,53000000.0,40000000.0,15000000.0,43070565.99,18706830.03,61777396.02,23919394.0,12636613.3,6461760.0,9089769.17,,,49087984.03,108000000.0,532506.0,518655.0,,
2016-08-10,53000000.0,40000000.0,15000000.0,37098402.94,24639497.91,61737900.85,24081085.6,12558538.7,5944392.0,9624938.55,,,54664975.51,108000000.0,584868.0,516930.0,,
2016-08-11,53000000.0,40000000.0,15000000.0,44840964.84,17036642.96,61877607.8,22764817.0,13057057.1,4934904.0,10841106.04,,,44736363.96,108000000.0,722092.0,617978.0,,
2016-08-12,53000000.0,40000000.0,15000000.0,52555727.1,9621254.3,62176981.4,24375979.4,11615232.0,5380272.0,10744300.08,,,39377505.7,108000000.0,790714.0,724963.0,,
2016-08-15,53000000.0,40000000.0,15000000.0,46183113.66,16176349.15,62359462.81,27779473.6,9786693.8,6269688.0,10901430.14,157626.48,190891.5,50225510.75,108000000.0,716337.0,655258.0,,
