,InitialCashETF,InitialCashOption,InitialCashFuture,CashETF,AssetETF,TotalAssetETF,MarginOption,CashOption,MarginFuture,CashFuture,TotalRepo,TotalExchangeFees,TotalInvestmentCash,TotalCash,PnLOrcTheory,PnLOrcMarket,PnLMarketSettle,PnLMarketClose
2016/6/27,,,,,,,,,,,,,,,,,,
2016/6/28,,,,,,,,,,,,,,,,,,
2016/6/29,,,,,,,,,,,,,,,,,,
2016/6/30,,,,,,,,,,,,,,,,,,
2016/7/1,,,,,,,,,,,,,,,,,,
2016/7/4,,,,,,,,,,,,,,,,,,
2016/7/5,46000000,25000000,,40859719,6250760.6,47109939.6,12673869,13291886.7,,,,,,,,,,
2016/7/6,46000000,25000000,,40000580.99,7123362.79,47123943.78,13177309.8,12890164.4,2241000,2823232.1,,,,,,,,
2016/7/7,46000000,25000000,,42103433.6,5037136.36,47140569.96,13603342.6,12453784.1,2492880,2586321.73,,,,,,,,
2016/7/8,46000000,25000000,,41040909.08,6071899,47112808.08,13761192.2,12410019.9,2608452,2428554.1,,,,,,,,
2016/7/11,46000000,25000000,,41178818.2,5966266.84,47145085.04,13529640.6,12402319.7,2504640,2640710.29,,,,,,,,
2016/7/12,46000000,25000000,,37146050.5,10151470.33,47297520.83,14224953.8,12365322.4,2420904,2936499.82,,,,,204474,,,
2016/7/13,46000000,25000000,,24992627.92,22267950.59,47260578.51,16180361.8,11473641.2,3730212,1716167.84,,,,,204474,,,
2016/7/14,43000000,25000000,8000000,12971643.16,31265735.81,44237378.97,16180361.8,11046054,4767228,3677348.44,,,,,218700,207668,,
2016/7/15,53000000,25000000,8000000,15075115.21,39217121.27,54292236.48,19243794.6,10097997.3,5038092,3470592.99,,,,,198369,127311,,
2016/7/18,53000000,25000000,8000000,14029563.31,40126103.99,54155667.3,19407568,10158628.5,5150256,3282872.97,,,,,204425,120595,,
2016/7/19,53000000,25000000,8000000,14029563.31,39909984.94,53939548.25,20000495.8,9603326.5,5099220,3066157.77,,,,,192948,55637,,
2016/7/20,53000000,25000000,10000000,11711841.78,43788755.17,55500596.95,20626668.1,9101745.6,5477916,4648295.16,,,,,208462,74395,,
2016/7/21,53000000,25000000,10000000,13114746.86,42614422.92,55729169.78,21727672,8343289.2,5762976,4511464.02,,,,,251409,157736,,
2016/7/22,53000000,25000000,10000000,7235700.23,48088451.4,55324151.63,21662952,8735404.3,6622332,3435235.55,,,,,195278,,,
2016/7/25,63000000,35000000,,23720544.72,41640030.09,65360574.81,20844936.2,13379207.1,,,,,,,264355,,,
2016/7/26,63000000,35000000,15000000,35715526.29,30075000.31,65790526.6,22551175,12179742.7,5028732,10373710.68,,,,,281474,,,
2016/7/27,63000000,35000000,15000000,34328532.02,28991505.94,63320037.96,22874032.5,14745686.8,4833828,10233457.31,,,,,454773,,,
2016/7/28,53000000,40000000,15000000,38691405.04,22891181.68,61582586.72,22078749.8,15011778.4,2821320,12434182.11,,,,,568336,,,
2016/7/29,53000000,40000000,15000000,37445665.48,24039115.11,61484780.59,23163027,14210212.7,3839964,11366395.65,,,51042106.11,108000000,572232,509229,,
2016/8/1,53000000,40000000,15000000,37846365.76,26524117.14,61370482.92,23454380,13926651.2,5100480,10049103.2,,,55078977.14,108000000,505701,417799,,
2016/8/2,53000000,40000000,15000000,27628698.33,33750103.14,61378801.47,23698575,13752781.6,4973856,10161431.01,,,62422534.14,108000000,532102,431421,,
2016/8/3,53000000,40000000,15000000,19817632.98,41529565.93,61347198.91,23986848.8,13470892.1,4211820,10915650.75,,,69728234.73,108000000,533658,424401,,
2016/8/4,53000000,40000000,15000000,20514356.42,40799079.92,61313436.34,23964596.4,13592724.2,5989704,9137180.99,,,70753380.32,108000000,552535,432494,,
2016/8/5,53000000,40000000,15000000,34168274.2,27310422.67,61478696.87,24205441,12984017.3,5765964,9532684.36,,,57281827.67,108000000,536847,441083,,
2016/8/8,53000000,40000000,15000000,35847045.5,25748684.02,61595729.52,24200693.6,12915205.2,5650008,9714144.13,,,55599385.62,108000000,547687,443107,,
2016/8/9,53000000,40000000,15000000,43070565.99,18706830.03,61777396.02,23919394,12636613.3,6461760,9089769.17,,,49087984.03,108000000,532506,518655,,
