名称,10日涨跌幅
次新股指数,0.20529961041
航母指数,0.125471778769
冷链物流指数,0.110313551978
卫星导航指数,0.107739081358
网络安全指数,0.100669504031
去IOE指数,0.0999236179942
传感器指数,0.0996233111775
通用航空指数,0.0965401397961
量子通信指数,0.0950791218735
云计算指数,0.0921156839447
军民融合指数,0.0895949183866
物联网指数,0.0882613048355
高端装备制造指数,0.0821563800865
大数据指数,0.080865678568
安防监控指数,0.0777846369368
移动互联网指数,0.07767851913
智能交通指数,0.0750083373494
土地流转指数,0.0744111449759
智慧医疗指数,0.0740145790338
新材料指数,0.0731601391961
黄金珠宝指数,0.0726668960062
在线教育指数,0.0705359666639
长江经济带指数,0.0699807227768
智能物流指数,0.0698502183673
生物疫苗指数,0.0693886412675
智能IC卡指数,0.0689169414867
3D打印指数,0.0687328919195
移动支付指数,0.067369565778
养老产业指数,0.0661984188966
建筑节能指数,0.0656925135633
水利水电建设指数,0.0644896902483
中日韩自贸区指数,0.0627693234149
参股金融指数,0.0618853862673
基因检测指数,0.0616282358678
4G指数,0.0613322311908
抗癌指数,0.0609523040203
PM2.5指数,0.060611311198
人工智能指数,0.0605750674634
健康中国指数,0.06051852923
职业教育指数,0.060413633502
新三板指数,0.0584375122651
质押式回购指数,0.058214073515
金控平台指数,0.0577938312221
页岩气和煤层气指数,0.0577809619897
装饰园林指数,0.0576303164852
网络游戏指数,0.0575811344699
互联网营销指数,0.0574104750697
文化传媒概念指数,0.0561636689838
在线旅游指数,0.0555549571335
新能源指数,0.0553553391202
三网融合指数,0.0550001481061
汽车后市场指数,0.0548532009681
海绵城市指数,0.054767172365
宽带提速指数,0.0545450912165
无人机指数,0.0535247396074
动漫指数,0.052863757441
生物识别指数,0.0527990437036
环保概念指数,0.0526436206599
粤港澳自贸区指数,0.0524661229801
智能穿戴指数,0.0523566751036
金融改革指数,0.0521008404319
海南旅游岛指数,0.0520699010149
高铁指数,0.0520332928972
智能汽车指数,0.0517571322025
国家队指数,0.0514315843511
上海本地重组指数,0.051386175984
高送转概念指数,0.0507339152751
互联网金融指数,0.0500481866816
重组指数,0.0497860909307
电子商务指数,0.0497618959393
食品安全指数,0.0496814442934
油气改革指数,0.0491249860169
北部湾自贸区指数,0.048796239793
员工持股指数,0.0481860678431
太阳能发电指数,0.0479591802473
上海自贸区指数,0.0473873825998
虚拟现实指数,0.0473418244982
机器人指数,0.0471855342996
移动转售指数,0.0464084981252
污水处理指数,0.0460059424315
IP流量变现指数,0.0459343114482
第三方支付指数,0.0458615162862
特高压指数,0.0453075017908
医药电商指数,0.0450708195775
工业4.0指数,0.0446082992713
国资改革指数,0.0441574941173
证金概念指数,0.0431462740176
智能电网指数,0.0429359575879
高校指数,0.0428366879927
京津冀一体化指数,0.0424514653971
民营医院指数,0.0417903325558
体育指数,0.0417753388107
跨境电商指数,0.0408289102697
大央企重组指数,0.0407672690168
网络彩票指数,0.0405473242709
浦东新区指数,0.0404891845236
O2O指数,0.0399246237581
智能家居指数,0.0397046048544
绿色节能照明指数,0.0393566507609
芯片国产化指数,0.0392505424909
智慧农业指数,0.0390802866442
创投指数,0.039059742619
一带一路指数,0.0378075847542
垃圾发电指数,0.037505950404
福建自贸区指数,0.0374087497935
能源互联网指数,0.0358029007626
生物育种指数,0.0353671821593
智能电视指数,0.0347779541932
天津自贸区指数,0.0332748629342
沪股通50指数,0.0317560638911
举牌指数,0.0306229527197
迪士尼指数,0.0289012186189
新疆区域振兴指数,0.0263187354543
苹果指数,0.0236975485666
广东国资改革指数,0.0227602519183
民营银行指数,0.0219257941551
丝绸之路指数,0.0217920378555
核能核电指数,0.0171279731071
ST概念指数,0.0156437156732
蓝宝石指数,0.0135566045129
充电桩指数,0.0112885719033
燃料电池指数,0.0107326966957
锂电池指数,0.0096839092424
石墨烯指数,0.00890412386075
西藏振兴指数,0.00854188804255
风力发电指数,0.00766792405212
超级电容指数,-0.000275658821805
新能源汽车指数,-0.00492504136391
稀土永磁指数,-0.0115931661504
