,开盘价,收盘价,最高价,最低价,涨跌幅,成交额
航母指数,2865.4762,3043.5386,3048.3124,2857.5199,5.73382377625,173.11883862
水利水电建设指数,2973.1932,3047.6062,3047.6062,2973.1932,4.2818145752,55.38481884
高端装备制造指数,1552.727,1624.6246,1624.6458,1550.7527,4.22842407227,198.91590534
卫星导航指数,5330.8465,5577.739,5586.2851,5316.3771,4.10865020752,99.31283017
海绵城市指数,2553.8017,2617.1883,2617.5883,2553.8017,4.03919696808,41.81220046
次新股指数,91364.8492,95740.0241,95740.0241,91160.7823,3.60355877876,203.47648627
通用航空指数,3321.7893,3467.0609,3473.398,3321.0816,3.5919573307,121.9962272
无人机指数,1631.9647,1695.4991,1697.3387,1630.1596,3.23894000053,42.62894577
黄金珠宝指数,2275.2779,2318.3319,2341.7962,2271.3596,3.08499264717,165.90899247
军民融合指数,5729.5148,5940.3694,5941.8937,5719.6277,3.04353642464,168.39917612
西藏振兴指数,2634.5964,2709.6506,2709.9733,2634.5964,2.65102624893,26.66914334
大央企重组指数,1695.7783,1743.85,1745.7316,1695.0401,2.63172364235,202.14407159
量子通信指数,5623.9777,5766.5789,5784.0314,5616.6982,2.57862949371,79.12064131
智能IC卡指数,3121.2487,3232.0259,3236.8467,3108.9693,2.56393504143,47.08344877
土地流转指数,1580.2437,1627.4631,1632.5795,1580.2437,2.46748566628,25.82057615
3D打印指数,3860.9564,3957.4806,3957.6718,3852.8877,2.42191815376,56.14146964
稀土永磁指数,4090.9893,4213.9051,4259.1907,4085.7549,2.41226410866,129.79243855
去IOE指数,5576.9907,5762.1351,5763.2699,5576.9907,2.38635468483,57.06155193
海南旅游岛指数,2283.4426,2332.9063,2333.2272,2280.2614,2.3557062149,33.11491373
生物育种指数,2343.4657,2406.7662,2407.9486,2333.7866,2.33622670174,23.44828702
创投指数,2135.6458,2192.9652,2196.3856,2135.6458,2.28167796135,44.40391975
第三方支付指数,4804.0392,4943.7261,4954.1994,4798.927,2.22514748573,95.3622727
安防监控指数,7131.1814,7350.75,7363.5868,7116.9867,2.21463012695,107.74509273
参股金融指数,1770.9648,1811.9116,1815.4361,1769.3195,2.17716217041,46.25927654
新材料指数,3622.2233,3706.8239,3711.7884,3621.9546,2.17198681831,91.67884439
金融改革指数,3612.0363,3693.6302,3695.4871,3610.0781,2.10139584541,34.56295022
大数据指数,18270.5302,18800.1818,18800.1818,18261.2958,2.09674549103,80.75791009
证金概念指数,2066.0832,2118.1107,2120.7239,2065.6203,2.09230566025,561.58866513
上海本地重组指数,2142.8696,2195.0399,2204.6314,2139.8753,2.06998825073,26.5756471
建筑节能指数,2883.9784,2956.821,2959.4271,2878.9802,2.05605173111,46.34264196
移动支付指数,3623.2868,3724.7889,3730.9475,3613.3244,2.02457809448,74.6139917
国家队指数,4056.5253,4157.7758,4162.0876,4055.4899,2.01782917976,1811.12015857
互联网金融指数,6464.0374,6639.7949,6659.963,6462.9932,1.97895824909,238.33617298
智能交通指数,4940.5699,5079.8688,5095.2572,4935.6921,1.96779441833,70.97853505
沪股通50指数,1714.5953,1749.5079,1751.3203,1712.9893,1.96174800396,162.84991477
锂电池指数,4806.9226,4927.7082,4944.0141,4804.1036,1.94496357441,277.42553763
燃料电池指数,1726.8559,1767.688,1772.2967,1724.6812,1.9398047924,36.7696113
装饰园林指数,4709.336,4825.8931,4831.5352,4697.0639,1.93481683731,83.89399332
电子商务指数,4319.0576,4433.6363,4433.8046,4317.9755,1.93308711052,98.78912362
京津冀一体化指数,1927.0228,1971.5134,1971.5134,1920.968,1.92410099506,38.24687501
4G指数,2678.8448,2729.9611,2738.2953,2668.6739,1.91526520252,58.44055493
生物疫苗指数,3254.015,3331.6416,3333.6319,3250.4758,1.90806365013,73.35438066
新三板指数,2295.7862,2351.5882,2353.6789,2289.9163,1.90594017506,33.65038113
一带一路指数,1833.5816,1874.8817,1875.653,1833.2009,1.90571916103,75.39074096
国资改革指数,1909.5899,1955.7144,1955.7144,1906.5911,1.89239621162,69.33079057
网络安全指数,15929.9478,16323.2497,16361.4166,15878.5392,1.86966001987,90.08303479
金控平台指数,2606.1672,2659.8411,2668.3577,2605.5506,1.85880839825,40.02929235
污水处理指数,4432.2715,4522.3182,4529.985,4432.2715,1.84994184971,42.31703686
人工智能指数,5821.604,5977.9687,5985.5094,5811.0624,1.846560359,104.13858417
智能物流指数,3926.2589,4026.7229,4035.6747,3921.571,1.80606067181,59.79859256
养老产业指数,2898.4817,2967.169,2968.7987,2895.7117,1.8032875061,35.11632988
智慧农业指数,3512.754,3595.6062,3602.542,3504.1278,1.78658699989,32.6456976
苹果指数,9341.2931,9570.5103,9579.2962,9331.9581,1.78081941605,62.00797886
环保概念指数,4013.8418,4094.77,4102.9932,4013.8418,1.77951908112,76.58163516
基因检测指数,4986.3894,5109.8441,5116.366,4984.8388,1.76426172256,66.76438616
粤港澳自贸区指数,1770.2556,1811.9823,1816.1391,1767.4312,1.75698745251,10.34254105
跨境电商指数,3327.2476,3415.0016,3415.544,3327.2476,1.74914598465,61.15281706
质押式回购指数,1982.774,2028.4168,2030.6665,1982.0595,1.73992180824,1229.81861201
机器人指数,5405.7614,5539.2325,5543.5448,5398.6662,1.73938012123,169.40008367
高校指数,4179.8119,4275.961,4278.2084,4170.4214,1.73747348785,101.61783652
在线教育指数,7694.4664,7889.7336,7910.387,7680.3037,1.73577141762,70.59267745
宽带提速指数,3038.858,3097.7087,3105.1909,3033.2928,1.72322809696,61.35885451
PM2.5指数,3790.3708,3856.9457,3870.9351,3785.2765,1.71269500256,31.53488983
民营医院指数,3823.8849,3913.583,3919.4491,3821.2796,1.71264243126,46.31988004
浦东新区指数,2253.1151,2300.0388,2302.1048,2249.4216,1.7110697031,162.73001099
福建自贸区指数,2396.2836,2454.9583,2457.4534,2392.8881,1.70965862274,24.34756324
高送转概念指数,2122.5631,2170.6388,2173.1088,2120.1058,1.68371462822,1007.50255273
三网融合指数,3307.419,3379.9927,3394.1697,3300.2651,1.67880797386,111.44455002
物联网指数,3782.7626,3871.8263,3882.6711,3779.012,1.67126750946,130.03030961
智能家居指数,6456.8513,6601.9582,6603.5907,6449.9154,1.66312348843,93.88146514
传感器指数,3854.5607,3945.8586,3959.462,3852.17,1.6449059248,49.03337164
生物识别指数,6303.7586,6459.2764,6465.7528,6285.1477,1.63843786716,69.89060938
健康中国指数,4748.0495,4852.1111,4863.5241,4742.7404,1.62632751465,67.28826832
职业教育指数,2650.3055,2709.1579,2711.506,2645.0452,1.62312948704,26.01488756
员工持股指数,2856.039,2919.0329,2921.9572,2855.5139,1.60562574863,932.9185021
太阳能发电指数,2685.3922,2746.5631,2748.2269,2681.5446,1.59370279312,108.19136579
石墨烯指数,2126.2412,2178.8808,2182.4207,2125.2276,1.58816301823,70.40221038
抗癌指数,2811.525,2865.8537,2871.1096,2811.3565,1.58347153664,39.43698015
