,开盘价,收盘价,最高价,最低价,涨跌幅,成交额
国防军工,1542.97,1644.41,1649.99,1539.78,6.10671281815,234.3639
有色金属,3679.57,3798.63,3834.2,3679.57,3.77976536751,543.2461
采掘,3112.79,3211.4,3220.95,3111.64,2.72929668427,106.06
非银金融,1625.1,1673.14,1688.07,1623.66,2.33585119247,366.4646
农林牧渔,3166.42,3255.33,3255.37,3163.35,2.30902671814,168.2433
建筑材料,4648.87,4765.05,4765.05,4648.87,2.27821540833,115.1813
化工,3001.9,3082.61,3084.77,3001.51,2.17399954796,471.5386
计算机,5253.49,5413.3,5422.67,5253.49,1.96516466141,583.2606
汽车,5070.99,5195.83,5198.6,5067.11,1.91179120541,289.0401
钢铁,2186.94,2237.14,2242.96,2185.01,1.8645927906,57.2602
商业贸易,4504.84,4604.9,4610.34,4500.85,1.80151700974,141.4143
机械设备,1563.82,1601.28,1601.55,1563.8,1.79719138145,481.0024
通信,2752.07,2814.43,2817.9,2748.21,1.69685673714,166.7211
建筑装饰,2575.17,2619.02,2624.94,2575.17,1.68068861961,204.2858
纺织服装,3340.72,3412.08,3416.2,3340.57,1.63076019287,103.0811
综合,3146.6,3207.97,3217.42,3141.67,1.61064517498,76.0769
公用事业,2694.43,2743.44,2746.49,2694.03,1.58894729614,160.3433
轻工制造,3218.39,3287.5,3288.59,3218.03,1.53060281277,162.4183
电气设备,5887.77,6010.27,6016.48,5885.55,1.51008462906,320.785
家用电器,4591.25,4673.01,4680.11,4588.22,1.49847304821,117.3066
电子,3149.64,3220.95,3225.89,3148.46,1.48624038696,456.5243
医药生物,7409.21,7550.46,7556.31,7406.86,1.47990345955,334.5729
交通运输,2634.68,2686.1,2687.53,2632.89,1.46027863026,150.7682
食品饮料,6979.22,7104.02,7120.14,6974.6,1.37824940681,162.7682
传媒,1310.65,1336.06,1340.6,1310.3,1.20056653023,285.1084
银行,3108.03,3145.16,3159.14,3107.76,1.01361763477,66.2072
休闲服务,5520.78,5599.25,5605.64,5520.78,0.939221024513,37.1149
房地产,4591.04,4672.72,4678.49,4587.94,-0.0955702066422,219.7122
