名称,20日涨跌幅
航天装备,0.203035354263
黄金,0.197777797808
地面兵装,0.177633198672
仪器仪表,0.176230671581
航空装备,0.156235068693
其他电子,0.126049027906
船舶制造,0.0946107196002
工业金属,0.0904471394597
计算机设备,0.0899847966553
半导体,0.0806054426349
饮料制造,0.0795993987389
高低压设备,0.0778230348002
金属制品,0.0770717725292
家用轻工,0.0757068264317
其他交运设备,0.0726318649594
农产品加工,0.0724906369835
橡胶,0.069584409328
电子制造,0.0640873961701
通用机械,0.0633179711411
塑料,0.0632110328148
包装印刷,0.0625949525585
其他建材,0.0623612185325
元件,0.0623223693205
汽车整车,0.0612092986371
电机,0.0610268364115
煤炭开采,0.0589918633257
化学制品,0.0584115292155
电气自动化设备,0.0581873569265
通信设备,0.0576759408411
汽车零部件,0.0549642533208
计算机应用,0.0546260938949
专用设备,0.0527839748625
化学制药,0.0526856859473
白色家电,0.0497456577195
中药,0.0495178564101
医疗器械,0.0484659044431
电源设备,0.0481359007409
食品加工,0.0462349438395
专业工程,0.0438737069952
动物保健,0.0436850403418
医药商业,0.0431980449805
化学原料,0.043059576156
林业,0.0414209190339
贸易,0.0402584596222
种植业,0.0401271927899
生物制品,0.0388163982154
综合,0.0379672197006
燃气,0.0360730321088
汽车服务,0.0358250424484
基础建设,0.0344041878617
环保工程及服务,0.0305477102213
化学纤维,0.0296506889559
畜禽养殖,0.0294296319334
造纸,0.028426658965
金属非金属新材料,0.0266436186457
纺织制造,0.0256122110513
渔业,0.0201343497076
装修装饰,0.0198275717847
旅游综合,0.019664047117
营销传播,0.0194421750253
多元金融,0.0163955752328
石油化工,0.0162728524317
园林工程,0.0135007355352
农业综合,0.0132425450526
一般零售,0.0132246376812
景点,0.012945760015
电力,0.0122978351476
铁路运输,0.0100601875072
稀有金属,0.00897152475424
饲料,0.00849280971993
园区开发,0.00781826899185
光学光电子,0.00720364846656
保险,0.0063050545302
房屋建设,0.00516126549149
采掘服务,0.00394135332153
水务,0.0035718171926
银行,0.00192680068282
水泥制造,0.0019231162667
房地产开发,0.000713210092108
餐饮,-0.000365735017665
高速公路,-0.00075566974565
医疗服务,-0.00175257382823
其他采掘,-0.00448499845345
通信运营,-0.00469698028236
视听器材,-0.00593561941163
钢铁,-0.00678076220866
商业物业经营,-0.00845802035377
服装家纺,-0.0102074375434
运输设备,-0.011717918631
港口,-0.0135453190743
互联网传媒,-0.0138084772043
物流,-0.0162913571892
航运,-0.0163101324621
航空运输,-0.0181765989629
酒店,-0.020007424069
机场,-0.0201362950796
石油开采,-0.022435065701
文化传媒,-0.024101947795
玻璃制造,-0.0384229030638
公交,-0.0393800983744
专业零售,-0.0620114534509
