,开盘价,收盘价,最高价,最低价,涨跌幅,成交额
房地产开发,5327.79,5416.01,5461.2,5293.28,-0.166450381279,199.1383
餐饮,1334.1,1366.61,1391.81,1326.29,0.455744951963,1.3191
景点,10263.11,10389.42,10438.13,10217.87,0.647025048733,7.5661
医疗服务,4665.87,4716.2,4769.02,4590.0,0.689381301403,31.0035
石油开采,413.62,414.38,417.38,408.3,0.746395647526,1.9425
园区开发,2832.01,2879.75,2897.59,2809.86,0.993540048599,20.5739
文化传媒,3929.19,3995.19,4033.17,3894.62,1.00034892559,105.0798
银行,3108.82,3145.97,3166.59,3105.13,1.01367843151,66.2072
燃气,4452.55,4513.59,4540.45,4411.0,1.05316185951,11.0521
酒店,4382.29,4435.27,4472.09,4366.05,1.06113421917,4.2746
通信运营,1820.42,1852.03,1864.37,1814.83,1.09554791451,11.6452
保险,757.78,767.69,773.94,756.43,1.10629665852,24.7142
营销传播,6347.65,6463.61,6526.92,6288.14,1.11034107208,29.1579
旅游综合,4600.7,4681.4,4711.9,4568.73,1.11058795452,23.9551
电气自动化设备,5846.49,5953.87,6002.36,5792.43,1.11854434013,76.8927
其他交运设备,1842.05,1894.89,1908.89,1820.35,1.13685488701,4.4258
食品加工,10230.24,10425.93,10496.62,10190.17,1.14357221127,81.6629
公交,4351.53,4431.33,4448.35,4331.16,1.14397621155,8.0116
中药,7549.86,7673.13,7717.77,7519.37,1.15096318722,78.1095
高速公路,2212.22,2247.96,2258.95,2205.94,1.15966677666,12.6073
机场,3663.69,3722.61,3744.49,3655.56,1.1680521965,6.8893
半导体,2199.85,2246.73,2267.41,2183.67,1.20952486992,78.5169
金属制品,4585.91,4697.11,4740.06,4568.75,1.22929179668,30.2655
造纸,2361.94,2421.41,2444.13,2345.21,1.25152623653,32.7653
电机,8731.26,8876.02,8935.12,8685.45,1.26570439339,20.1272
运输设备,10315.3,10494.35,10549.59,10266.04,1.27218091488,21.9662
医药商业,7340.95,7461.86,7518.01,7305.29,1.29120886326,26.878
服装家纺,3186.39,3250.36,3274.3,3169.45,1.33687508106,53.896
电子制造,4216.26,4308.16,4341.27,4179.07,1.36131572723,104.8837
一般零售,4551.62,4642.19,4676.48,4530.76,1.3664919138,53.9911
生物制品,6926.03,7050.53,7104.02,6890.38,1.38564348221,45.2823
玻璃制造,6156.87,6317.85,6354.03,6128.77,1.41043794155,14.7726
专业零售,10154.62,10358.17,10421.97,10088.02,1.41933834553,26.2178
白色家电,8885.85,9040.84,9148.42,8839.59,1.41951692104,90.0906
物流,8470.21,8663.04,8729.67,8410.67,1.43777990341,59.8668
光学光电子,1707.5,1749.13,1765.32,1698.26,1.43823981285,115.7044
电力,2755.69,2802.83,2816.86,2744.58,1.4496268034,81.6031
房屋建设,2561.68,2611.61,2626.65,2557.06,1.47731375694,10.8842
互联网传媒,1846.79,1889.04,1914.07,1836.77,1.5007172823,150.8707
饮料制造,7683.23,7814.27,7875.62,7639.25,1.5233168602,81.1052
港口,4422.22,4501.39,4514.84,4401.35,1.54389286041,15.7764
计算机应用,5940.56,6106.38,6177.83,5891.01,1.54756438732,409.9757
高低压设备,7325.46,7483.39,7541.07,7270.67,1.5490064621,115.8363
航运,1568.82,1598.86,1610.15,1559.46,1.55231761932,17.1481
汽车零部件,5678.77,5827.19,5883.07,5633.54,1.5564981699,184.397
动物保健,6281.74,6427.67,6500.47,6236.76,1.57377910614,9.6505
基础建设,2625.4,2655.75,2687.02,2597.8,1.5839561224,106.7507
家用轻工,3227.62,3298.3,3338.03,3206.16,1.59180927277,74.3371
航空运输,2612.2,2667.84,2678.65,2603.58,1.6083881855,23.9409
采掘服务,7144.03,7313.01,7394.17,7106.42,1.60895681381,22.6942
综合,3135.74,3203.8,3241.32,3109.21,1.6108417511,76.0769
橡胶,5583.82,5728.17,5768.17,5552.39,1.62762594223,23.8709
包装印刷,3728.58,3818.86,3850.82,3705.52,1.68847942352,50.2354
园林工程,12128.39,12304.73,12465.38,12053.73,1.72014570236,24.7559
铁路运输,1026.98,1047.19,1050.9,1022.49,1.72325026989,6.5278
元件,3568.82,3651.85,3685.69,3543.28,1.73020887375,55.9935
通信设备,2821.84,2895.61,2923.36,2800.39,1.75888049603,155.0758
金属非金属新材料,4991.33,5143.31,5214.12,4957.63,1.76349079609,89.143
电源设备,8564.02,8757.71,8830.64,8511.6,1.77975189686,107.9288
化学制药,7690.73,7853.93,7913.57,7650.08,1.79668736458,107.1224
视听器材,1544.75,1570.91,1585.74,1533.84,1.79693877697,27.2161
其他采掘,1703.61,1737.99,1761.92,1691.1,1.81665861607,17.1025
专业工程,1960.42,2006.2,2023.4,1949.78,1.82825934887,30.7094
汽车服务,1443.34,1476.32,1486.17,1432.67,1.83694446087,26.8502
环保工程及服务,2330.31,2379.04,2403.49,2320.85,1.84508168697,48.4924
通用机械,5537.72,5673.45,5727.57,5487.23,1.84648299217,187.3259
其他电子,6664.14,6864.53,6948.42,6618.27,1.84838163853,101.4258
钢铁,2363.84,2415.39,2451.42,2342.75,1.86447250843,57.2602
化学制品,4224.06,4327.94,4371.25,4194.35,1.87415266037,290.4032
专用设备,6533.75,6700.97,6750.99,6494.66,1.87808632851,189.8569
